trip_id,vehicle_id,driver_id,start_latitude,start_longitude,end_latitude,end_longitude,start_datetime,end_datetime,trip_duration,weather_data,traffic_data,elevation_data,route_id
TRIP_1,V003,D003,40.25454749016213,-3.7087860031565927,40.489689609922365,-3.7482440036799964,2024-01-01 08:00:00,2024-01-01 08:45:00,43,Clear,Low,559.6147044602517,R002
TRIP_2,V001,D003,40.255021352956035,-3.6429648077213974,40.44251920443494,-3.6674955431292036,2024-01-01 11:00:00,2024-01-01 11:45:00,60,Cloudy,Low,501.65663513708074,R002
TRIP_3,V003,D001,40.291272672887864,-3.7600652435683277,40.291384130752014,-3.7376577847821175,2024-01-01 14:00:00,2024-01-01 14:45:00,77,Clear,Low,744.6384285364502,R002
TRIP_4,V003,D003,40.35742692948967,-3.697153112317278,40.22930163420192,-3.6959863957644377,2024-01-01 17:00:00,2024-01-01 17:45:00,44,Rain,High,712.0572031542852,R001
TRIP_5,V001,D002,40.32958350559264,-3.6815170862275917,40.405269907953645,-3.690657944131344,2024-01-01 20:00:00,2024-01-01 20:45:00,37,Fog,Low,718.7021504122962,R002
TRIP_6,V001,D001,40.287368742059414,-3.790709917456,40.332045748121885,-3.7630291088948944,2024-01-01 23:00:00,2024-01-01 23:45:00,43,Clear,Low,731.3811040057838,R001
TRIP_7,V003,D002,40.383555868416714,-3.678491029619712,40.23661147045344,-3.6060830744470884,2024-01-02 02:00:00,2024-01-02 02:45:00,52,Cloudy,Low,522.2133955202271,R001
TRIP_8,V002,D002,40.241848158195616,-3.7658951752625414,40.34855307303338,-3.644973435327777,2024-01-02 05:00:00,2024-01-02 05:45:00,89,Rain,High,607.5397185632818,R002
TRIP_9,V003,D002,40.28764339456057,-3.786989681402944,40.21031655633457,-3.6121002116871623,2024-01-02 08:00:00,2024-01-02 08:45:00,86,Clear,Low,534.7607178575389,R002
TRIP_10,V003,D002,40.30990855298811,-3.6102228925493334,40.472796120623634,-3.6210345299144704,2024-01-02 11:00:00,2024-01-02 11:45:00,69,Cloudy,Low,758.931027762678,R001
